Date,Load,Temperature,Cloudiness,Irradiation,PublicHolidays
2012-01-01 00:00:00,14873.3,-1.3,4.1,0.2,1
2012-01-01 01:00:00,14253.3,-1.4,5,0.2,1
2012-01-01 02:00:00,13510,-1.4,5,0.2,1
2012-01-01 03:00:00,13053.5,-1.4,5,0.2,1
2012-01-01 04:00:00,12759.5,-0.6,5.9,0.2,1
2012-01-01 05:00:00,12697.3,-0.6,5.9,0.2,1
2012-01-01 06:00:00,12715.6,-0.6,5.9,0.2,1
2012-01-01 07:00:00,12457.7,0.8,7.3,0.2,1
2012-01-01 08:00:00,12297.9,0.8,7.3,0.2,1
2012-01-01 09:00:00,12782.9,0.8,7.3,0.2,1
2012-01-01 10:00:00,13327.7,2,7.4,0.2,1
2012-01-01 11:00:00,13850.5,2,7.4,0.2,1
2012-01-01 12:00:00,14300.1,2,7.4,0.2,1
2012-01-01 13:00:00,14693.1,4.2,6.3,0.2,1
2012-01-01 14:00:00,14875.2,4.2,6.3,0.2,1
2012-01-01 15:00:00,15261.7,4.2,6.3,0.2,1
2012-01-01 16:00:00,16804.3,4.1,6,0.2,1
2012-01-01 17:00:00,17209.8,4.1,6,0.2,1
2012-01-01 18:00:00,17391.8,4.1,6,0.2,1
2012-01-01 19:00:00,17592.9,4.1,6.9,0.2,1
2012-01-01 20:00:00,17214.2,4.1,6.9,0.2,1
2012-01-01 21:00:00,16289.8,4.1,6.9,0.2,1
2012-01-01 22:00:00,15305.3,4.5,7.4,0.2,1
2012-01-01 23:00:00,14140.4,4.5,7.4,0.2,1
2012-01-02 00:00:00,13221.4,4.5,7.4,0.2,0
2012-01-02 01:00:00,12739,5.6,7.7,0.2,0
2012-01-02 02:00:00,12521.5,5.6,7.7,0.2,0
2012-01-02 03:00:00,12510.2,5.6,7.7,0.2,0
2012-01-02 04:00:00,12877.6,6.3,7.4,0.2,0
2012-01-02 05:00:00,13769.2,6.3,7.4,0.2,0
2012-01-02 06:00:00,16585,6.3,7.4,0.2,0
2012-01-02 07:00:00,18859.8,5.6,6.2,0.2,0
2012-01-02 08:00:00,19751.2,5.6,6.2,0.2,0
2012-01-02 09:00:00,20352.7,5.6,6.2,0.2,0
2012-01-02 10:00:00,20552.3,5.8,6.4,0.2,0
2012-01-02 11:00:00,20833,5.8,6.4,0.2,0
2012-01-02 12:00:00,20822.7,5.8,6.4,0.2,0
2012-01-02 13:00:00,21059.6,7.7,6.6,0.2,0
2012-01-02 14:00:00,20981.2,7.7,6.6,0.2,0
2012-01-02 15:00:00,21271.1,7.7,6.6,0.2,0
2012-01-02 16:00:00,22622.3,6.7,5.2,0.2,0
2012-01-02 17:00:00,22809,6.7,5.2,0.2,0
2012-01-02 18:00:00,22464.1,6.7,5.2,0.2,0
2012-01-02 19:00:00,22392.7,6,5.2,0.2,0
2012-01-02 20:00:00,21729.2,6,5.2,0.2,0
2012-01-02 21:00:00,20368.5,6,5.2,0.2,0
2012-01-02 22:00:00,18774.7,5.4,7.1,0.2,0
2012-01-02 23:00:00,17125.1,5.4,7.1,0.2,0
2012-01-03 00:00:00,16003.2,5.4,7.1,0.2,0
2012-01-03 01:00:00,15278.4,5.2,6.1,0.2,0
2012-01-03 02:00:00,14947.2,5.2,6.1,0.2,0
2012-01-03 03:00:00,14977.3,5.2,6.1,0.2,0
2012-01-03 04:00:00,15247.8,4.6,5.4,0.2,0
2012-01-03 05:00:00,15951.5,4.6,5.4,0.2,0
2012-01-03 06:00:00,18326.7,4.6,5.4,0.2,0
2012-01-03 07:00:00,20289,4.4,5,0.2,0
2012-01-03 08:00:00,20885.5,4.4,5,0.2,0
2012-01-03 09:00:00,21182.9,4.4,5,0.2,0
2012-01-03 10:00:00,21109,4.7,5.2,0.2,0
2012-01-03 11:00:00,21204.6,4.7,5.2,0.2,0
2012-01-03 12:00:00,21093.8,4.7,5.2,0.2,0
2012-01-03 13:00:00,21195.1,5.7,5.7,0.2,0
2012-01-03 14:00:00,20967.8,5.7,5.7,0.2,0
2012-01-03 15:00:00,21185.9,5.7,5.7,0.2,0
2012-01-03 16:00:00,22883.9,4.5,3.3,0.2,0
2012-01-03 17:00:00,23153.5,4.5,3.3,0.2,0
2012-01-03 18:00:00,22961.3,4.5,3.3,0.2,0
2012-01-03 19:00:00,22739.9,5.2,3.4,0.2,0
2012-01-03 20:00:00,21940.1,5.2,3.4,0.2,0
2012-01-03 21:00:00,20580.5,5.2,3.4,0.2,0
2012-01-03 22:00:00,18893.2,6.3,5.1,0.2,0
2012-01-03 23:00:00,17415,6.3,5.1,0.2,0
2012-01-04 00:00:00,16131.8,6.3,5.1,0.2,0
2012-01-04 01:00:00,15490.6,7.1,6.4,0.2,0
2012-01-04 02:00:00,15181.5,7.1,6.4,0.2,0
2012-01-04 03:00:00,15201.8,7.1,6.4,0.2,0
2012-01-04 04:00:00,15419.3,6.6,7.3,0.2,0
2012-01-04 05:00:00,16050.4,6.6,7.3,0.2,0
2012-01-04 06:00:00,18357.5,6.6,7.3,0.2,0
2012-01-04 07:00:00,20433.7,6.7,5.4,0.2,0
2012-01-04 08:00:00,20991.5,6.7,5.4,0.2,0
2012-01-04 09:00:00,21330.4,6.7,5.4,0.2,0
2012-01-04 10:00:00,21416.2,5.7,6.2,0.2,0
2012-01-04 11:00:00,21810,5.7,6.2,0.2,0
2012-01-04 12:00:00,21861.4,5.7,6.2,0.2,0
2012-01-04 13:00:00,22046.3,6.2,5.7,0.2,0
2012-01-04 14:00:00,21731.4,6.2,5.7,0.2,0
2012-01-04 15:00:00,21805.7,6.2,5.7,0.2,0
2012-01-04 16:00:00,23135.2,5.5,5,0.2,0
2012-01-04 17:00:00,23275.4,5.5,5,0.2,0
