dt,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,wind_gust,rain,snow,run_date
2021-01-20 00:00:00,6.37,-0.83,1005,81,3.35,75,10000.0,8.23,210,0.0,0.0,0.0,2021-01-25
2021-01-20 01:00:00,6.71,-0.59,1005,76,2.78,75,10000.0,8.23,200,0.0,0.0,0.0,2021-01-25
2021-01-20 02:00:00,6.74,-1.11,1004,81,3.71,100,10000.0,9.26,210,0.0,0.5,0.0,2021-01-25
2021-01-20 03:00:00,6.88,-0.95,1003,81,3.85,0,10000.0,9.26,210,0.0,0.0,0.0,2021-01-25
2021-01-20 04:00:00,7.38,0.92,1002,76,3.43,75,10000.0,7.2,200,0.0,0.0,0.0,2021-01-25
2021-01-20 05:00:00,7.64,-0.58,1002,76,3.69,75,10000.0,9.77,210,0.0,0.5,0.0,2021-01-25
2021-01-20 06:00:00,7.2,0.71,1002,87,5.18,75,10000.0,7.72,210,0.0,0.5,0.0,2021-01-25
2021-01-20 07:00:00,7.02,0.49,1001,87,5.01,40,10000.0,7.72,200,0.0,0.5,0.0,2021-01-25
2021-01-20 08:00:00,7.1,-0.5,999,76,3.16,0,10000.0,8.75,190,0.0,0.0,0.0,2021-01-25
2021-01-20 09:00:00,7.46,-0.09,1001,65,1.32,0,10000.0,8.23,200,0.0,0.0,0.0,2021-01-25
2021-01-20 10:00:00,7.91,0.65,999,61,0.86,20,10000.0,7.72,200,0.0,0.0,0.0,2021-01-25
2021-01-20 11:00:00,8.7,1.2,998,61,1.61,0,10000.0,8.23,200,13.38,0.0,0.0,2021-01-25
2021-01-20 12:00:00,9.05,1.96,997,61,1.94,0,10000.0,7.72,200,0.0,0.0,0.0,2021-01-25
2021-01-20 13:00:00,9.5,1.76,997,61,2.36,0,10000.0,8.75,180,0.0,0.0,0.0,2021-01-25
2021-01-20 14:00:00,10.02,2.04,997,53,0.89,0,10000.0,8.75,190,0.0,0.0,0.0,2021-01-25
2021-01-20 15:00:00,10.23,2.28,994,53,1.08,0,10000.0,8.75,190,14.92,0.0,0.0,2021-01-25
2021-01-20 16:00:00,10.14,3.06,996,57,2.01,0,10000.0,7.72,190,0.0,0.0,0.0,2021-01-25
2021-01-20 17:00:00,9.96,3.22,993,57,1.84,0,10000.0,7.2,180,0.0,0.0,0.0,2021-01-25
2021-01-20 18:00:00,10.26,3.41,993,62,3.31,0,10000.0,7.72,190,0.0,0.0,0.0,2021-01-25
2021-01-20 19:00:00,10.41,5.03,993,62,3.45,0,10000.0,5.66,180,0.0,0.0,0.0,2021-01-25
2021-01-20 20:00:00,10.46,4.38,993,71,5.43,75,10000.0,7.2,200,0.0,0.5,0.0,2021-01-25
2021-01-20 21:00:00,10.76,4.38,992,71,5.72,0,10000.0,7.72,190,0.0,0.0,0.0,2021-01-25
2021-01-20 22:00:00,11.03,2.51,991,62,4.04,0,10000.0,10.29,200,15.43,0.0,0.0,2021-01-25
2021-01-20 23:00:00,10.92,2.05,990,71,5.87,0,10000.0,11.32,190,0.0,0.0,0.0,2021-01-25
2021-01-21 00:00:00,11.44,0.83,988,62,4.42,20,10000.0,13.38,190,19.55,0.0,0.0,2021-01-25
2021-01-21 01:00:00,11.61,0.32,986,62,4.58,20,10000.0,14.4,190,22.64,0.0,0.0,2021-01-25
2021-01-21 02:00:00,11.1,-0.47,986,66,5.0,75,10000.0,14.92,190,22.12,0.41,0.0,2021-01-25
2021-01-21 03:00:00,10.54,2.17,985,76,6.49,90,10000.0,10.8,200,20.06,0.35,0.0,2021-01-25
