dt,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,wind_gust,rain,snow,run_date
2021-01-27 00:00:00,2.17,-4.99,1018,80,-0.81,75,4500,7.2,210,0,0.0,0,2021-01-27
2021-01-27 01:00:00,1.43,-3.89,1017,86,-0.57,75,10000,4.63,190,0,0.0,0,2021-01-27
2021-01-27 02:00:00,1.25,-3.74,1016,86,-0.73,75,4500,4.12,180,0,0.0,0,2021-01-27
2021-01-27 03:00:00,1.37,-4.52,1015,93,0.36,75,10000,5.66,190,0,0.0,0,2021-01-27
2021-01-27 04:00:00,1.54,-4.33,1014,93,0.53,75,10000,5.66,200,0,0.44,0,2021-01-27
2021-01-27 05:00:00,1.58,-4.77,1013,87,-0.3,75,4500,6.17,200,0,0.23,0,2021-01-27
2021-01-27 06:00:00,1.88,-4.8,1013,87,-0.04,75,3500,6.69,210,0,0.0,0,2021-01-27
2021-01-27 07:00:00,1.97,-5.05,1013,87,0.04,75,4500,7.2,220,0,0.0,0,2021-01-27
2021-01-27 08:00:00,2.03,-4.84,1013,93,1.02,75,3000,7.2,220,0,0.0,0,2021-01-27
2021-01-27 09:00:00,2.47,-4.33,1013,93,1.46,75,8000,7.2,220,0,0.0,0,2021-01-27
2021-01-27 10:00:00,3.13,-2.84,1013,93,2.11,75,8000,6.17,230,0,0.0,0,2021-01-27
2021-01-27 11:00:00,3.72,-1.8,1014,93,2.69,90,3200,5.66,230,0,0.0,0,2021-01-27
2021-01-27 12:00:00,4.14,-1.66,1014,93,3.11,75,3500,6.17,230,0,0.0,0,2021-01-27
2021-01-27 13:00:00,4.46,-0.01,1012,100,4.46,75,6000,4.63,230,0,0.0,0,2021-01-27
2021-01-27 14:00:00,5.22,1.42,1014,93,4.18,75,5000,3.6,240,0,0.0,0,2021-01-27
2021-01-27 15:00:00,5.53,2.14,1014,93,4.49,75,6000,3.09,230,0,0.0,0,2021-01-27
2021-01-27 16:00:00,6.08,2.74,1012,94,5.19,87,10000,3.22,238,0,0.0,0,2021-01-27
2021-01-27 17:00:00,5.96,2.82,1012,95,5.22,95,10000,2.94,228,0,0.0,0,2021-01-27
2021-01-27 18:00:00,5.67,2.34,1012,95,4.93,98,10000,3.13,227,0,0.0,0,2021-01-27
2021-01-27 19:00:00,5.74,2.41,1012,96,5.15,100,10000,3.2,220,0,0.0,0,2021-01-27
2021-01-27 20:00:00,6.03,2.49,1012,96,5.58,100,10000,3.58,222,0,0.0,0,2021-01-27
2021-01-27 21:00:00,6.04,2.66,1012,96,5.59,100,10000,3.35,226,0,0.0,0,2021-01-27
2021-01-27 22:00:00,5.86,2.94,1012,97,5.49,100,10000,2.68,224,0,0.0,0,2021-01-27
2021-01-27 23:00:00,6.0,3.27,1011,97,5.69,100,10000,2.45,217,0,0.0,0,2021-01-27
2021-01-28 00:00:00,6.26,3.76,1011,97,5.91,100,9850,2.21,214,0,0.0,0,2021-01-27
2021-01-28 01:00:00,6.35,3.96,1010,97,6.04,100,8946,2.08,207,0,0.12,0,2021-01-27
2021-01-28 02:00:00,6.47,4.04,1009,97,6.15,100,5165,2.17,201,0,0.24,0,2021-01-27
2021-01-28 03:00:00,6.66,4.13,1008,97,6.35,100,1699,2.37,199,0,0.62,0,2021-01-27
2021-01-28 04:00:00,6.78,4.39,1007,97,6.48,100,682,2.21,181,0,1.1,0,2021-01-27
2021-01-28 05:00:00,6.99,4.3,1005,97,6.67,100,754,2.7,175,0,1.62,0,2021-01-27
2021-01-28 06:00:00,7.37,4.05,1005,97,6.99,100,1592,3.72,200,0,2.1,0,2021-01-27
2021-01-28 07:00:00,8.01,4.52,1003,97,7.61,100,3896,4.17,208,0,1.89,0,2021-01-27
2021-01-28 08:00:00,9.03,4.94,1003,96,8.47,100,5447,5.32,232,0,1.37,0,2021-01-27
2021-01-28 09:00:00,9.83,4.62,1002,95,9.09,100,6261,7.16,252,0,3.1,0,2021-01-27
2021-01-28 10:00:00,10.35,4.87,1002,93,9.41,100,10000,7.62,254,0,1.47,0,2021-01-27
2021-01-28 11:00:00,10.84,5.37,1002,91,9.46,100,10000,7.66,263,0,0.14,0,2021-01-27
2021-01-28 12:00:00,11.8,6.72,1002,84,9.36,100,10000,7.02,264,0,0.0,0,2021-01-27
2021-01-28 13:00:00,12.26,6.34,1002,83,9.56,94,10000,8.31,266,0,0.19,0,2021-01-27
2021-01-28 14:00:00,11.37,5.09,1002,87,9.44,97,10000,8.76,265,0,0.24,0,2021-01-27
2021-01-28 15:00:00,11.33,5.57,1002,86,9.1,97,10000,7.94,265,0,0.0,0,2021-01-27
2021-01-28 16:00:00,11.13,5.87,1002,85,8.73,97,10000,7.1,263,0,0.0,0,2021-01-27
2021-01-28 17:00:00,10.92,5.89,1003,85,8.52,98,10000,6.7,263,0,0.0,0,2021-01-27
2021-01-28 18:00:00,10.71,5.63,1004,85,8.45,98,10000,6.7,259,0,0.13,0,2021-01-27
2021-01-28 19:00:00,10.51,5.57,1004,86,8.4,100,10000,6.49,258,0,0.0,0,2021-01-27
2021-01-28 20:00:00,10.13,5.63,1003,87,8.2,100,10000,5.79,254,0,0.0,0,2021-01-27
2021-01-28 21:00:00,9.7,5.8,1003,90,8.27,100,10000,4.96,245,0,0.0,0,2021-01-27
2021-01-28 22:00:00,9.54,5.79,1003,93,8.55,100,10000,4.86,236,0,0.0,0,2021-01-27
2021-01-28 23:00:00,9.56,6.0,1002,94,8.68,100,10000,4.64,227,0,0.0,0,2021-01-27
2021-01-29 00:00:00,9.63,5.73,1001,94,8.72,100,10000,5.15,224,0,0.18,0,2021-01-27
2021-01-29 01:00:00,9.72,5.09,1000,93,8.76,100,10000,6.17,219,0,0.5,0,2021-01-27
2021-01-29 02:00:00,9.75,4.96,999,93,8.82,100,10000,6.41,214,0,0.68,0,2021-01-27
2021-01-29 03:00:00,10.04,5.07,997,94,9.19,100,4074,6.84,241,0,3.79,0,2021-01-27
2021-01-29 04:00:00,9.86,6.29,997,92,8.66,100,10000,4.65,252,0,2.45,0,2021-01-27
2021-01-29 05:00:00,10.02,4.88,997,91,8.7,100,10000,6.9,267,0,0.63,0,2021-01-27
2021-01-29 06:00:00,9.73,4.04,997,87,7.79,100,10000,7.35,271,0,0.11,0,2021-01-27
2021-01-29 07:00:00,8.51,2.71,997,85,6.26,89,10000,7.01,272,0,0.0,0,2021-01-27
2021-01-29 08:00:00,7.79,2.19,998,86,5.65,53,10000,6.57,266,0,0.0,0,2021-01-27
2021-01-29 09:00:00,8.28,2.2,999,85,6.07,40,10000,7.34,263,0,0.0,0,2021-01-27
2021-01-29 10:00:00,9.0,2.46,999,83,6.28,54,10000,8.11,266,0,0.0,0,2021-01-27
2021-01-29 11:00:00,9.05,3.23,999,82,6.16,63,10000,7.05,264,0,0.0,0,2021-01-27
2021-01-29 12:00:00,9.59,3.62,999,77,5.94,69,10000,7.15,262,0,0.0,0,2021-01-27
2021-01-29 13:00:00,10.16,3.6,999,72,5.35,100,10000,7.86,262,0,0.23,0,2021-01-27
2021-01-29 14:00:00,9.46,3.12,999,75,5.36,100,10000,7.52,262,0,0.25,0,2021-01-27
2021-01-28 00:00:00,6.09,3.18,1012,93,5.04,75,7000,2.57,190,0,0.0,0,2021-01-28
2021-01-28 01:00:00,5.96,3.23,1011,100,5.96,75,3200,2.57,180,0,0.19,0,2021-01-28
2021-01-28 02:00:00,5.95,2.5,1009,100,5.95,75,4000,3.6,180,0,0.65,0,2021-01-28
2021-01-28 03:00:00,5.99,2.69,1008,93,4.95,90,4500,3.09,180,0,1.1,0,2021-01-28
2021-01-28 04:00:00,6.19,2.93,1007,93,5.14,90,6000,3.09,180,0,1.65,0,2021-01-28
2021-01-28 05:00:00,6.18,3.28,1006,93,5.13,90,7000,2.57,170,0,3.15,0,2021-01-28
2021-01-28 06:00:00,6.18,2.56,1004,93,5.13,90,10000,3.6,170,0,2.08,0,2021-01-28
2021-01-28 07:00:00,6.6,2.7,1002,93,5.55,90,10000,4.12,190,0,1.39,0,2021-01-28
2021-01-28 08:00:00,7.36,2.19,1001,93,6.3,90,10000,6.17,210,0,1.3,0,2021-01-28
2021-01-28 09:00:00,8.41,3.11,1001,93,7.35,75,6000,6.69,240,0,1.71,0,2021-01-28
2021-01-28 10:00:00,9.66,5.02,1001,93,8.58,75,6000,6.17,250,0,1.32,0,2021-01-28
